"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1909393833252761732","Mon Apr 07 23:55:28 +0000 2025","0","@Semorobumi_MU Halo! Tarif 32% AS bikin ekspor kita mahal tapi nambah impor dari AS bisa jadi strategi diplomasi buat negosiasi tarif. Ekonomis ini riskan bebani neraca dagang kalau ekspor turun dan impor naik apalagi kalau barangnya nggak esensial. Tapi kalau impornya teknologi atau bahan https://t.co/JZeHFCjC6M","1909394625753645463","https://pbs.twimg.com/media/GnglrEPaIAA-yGm.jpg","Semorobumi_MU","in","wherever you are","0","1","0","https://x.com/grok/status/1909394625753645463","1720665183188922368","grok"
"1909394389660803549","Mon Apr 07 23:54:31 +0000 2025","14","Pagi. Hari ini 8 April 2025 BEI akan kembali dibuka setelah libur Lebaran seminggu lebih. Ketika BEI libur bursa global melemah tajam merespons kebijakan Trump yg mengenakan tarif tinggi kepada barang impor AS. Untuk barang Indonesia akan kena tarif 32%. Efektif 9 April.","1909394389660803549","","","in","Indonesia","0","1","4","https://x.com/doktermarket/status/1909394389660803549","311312187","doktermarket"
"1909393833252761732","Mon Apr 07 23:52:19 +0000 2025","0","Halo @grok dengan tarif 32% yang diminta Amerika lalu kita malah menambah volume impor dari Amerika apakah itu cukup bagus atau malah membebani kita atau bagaimana? Bisa dijelaskan","1909393833252761732","","","in","","0","1","0","https://x.com/Semorobumi_MU/status/1909393833252761732","1077995577768439808","Semorobumi_MU"
"1909393054077010391","Mon Apr 07 23:49:19 +0000 2025","3","Nah selama ini barang2 impor sdh banyak dr China jadi balik lagi perang tarif ini ga ngaruh utk harga alat2 musik &amp; pro audio. Sampai detik ini pemerintah belum membalas dg merubah Bea Masuk impor dr US.","1909393077124665524","","SetiawanWinarto","in","Indonesia","0","1","1","https://x.com/SetiawanWinarto/status/1909393077124665524","198174155","SetiawanWinarto"
"1909393054077010391","Mon Apr 07 23:49:16 +0000 2025","2","Jadi tidak bener ada tarif Indonesia utk barang2 impor dr amrik sebesar 67%. Lah emang alat2 musik dan pro audio dr amrik selama ini bayar bea masuk 67%? Ya ga mungkin kebeli akan terlalu mahal","1909393067196756159","","SetiawanWinarto","in","Indonesia","0","1","0","https://x.com/SetiawanWinarto/status/1909393067196756159","198174155","SetiawanWinarto"
"1909393054077010391","Mon Apr 07 23:49:15 +0000 2025","3","US menjelaskan mereka punya rumus yg keliatan complicated utk menghitung tarif negara2 lain yg dikenakan scr ga fair ke barang2 impor US dan itupun masih ada fine print termasuk currency manipulation &amp; trade barrier. 2 ini ngitungnya ga jelas.","1909393060385137110","","SetiawanWinarto","in","Indonesia","0","1","0","https://x.com/SetiawanWinarto/status/1909393060385137110","198174155","SetiawanWinarto"
"1909393054077010391","Mon Apr 07 23:49:14 +0000 2025","5","Pertama2 harus dijelasin dulu dalam hal ini Donald Trump ngawur pol karena tidak benar Indonesia mengenakan tarif 67% utk barang2 impor dr Amrik sehingga mereka berbaik hati istilah DT dg reciprocate hanya 1/2 nya atau tarif 34% utk barang2 impor dr Indonesia ke Amrik","1909393056971080080","","SetiawanWinarto","in","Indonesia","0","1","1","https://x.com/SetiawanWinarto/status/1909393056971080080","198174155","SetiawanWinarto"
"1909393054077010391","Mon Apr 07 23:49:13 +0000 2025","86","Mungkin teman2 musisi bertanya2 apakah ada dampak perang tarif yg dilakukan Amrik ini utk harga2 alat musik dan audio yang masuk ke Indonesia atau impor?","1909393054077010391","","","in","Indonesia","1","2","6","https://x.com/SetiawanWinarto/status/1909393054077010391","198174155","SetiawanWinarto"
"1909392355117220159","Mon Apr 07 23:46:26 +0000 2025","0","Selasa (8/4) Besok Prabowo akan Umumkan Sikap Hadapi Kebijakan Tarif Impor Trump https://t.co/uJqeRTUqgT","1909392355117220159","","","in","ihsgjournal@gmail.com","0","0","0","https://x.com/aldotjahjadi8/status/1909392355117220159","165242082","aldotjahjadi8"
"1909391420383003052","Mon Apr 07 23:42:44 +0000 2025","0","Trump Ancam Tambah Tarif 50 Persen atas Barang Impor dari China https://t.co/2xhGa6GGwS","1909391420383003052","","","in","Palu, Sulawesi Tengah ","0","0","0","https://x.com/HantonoSyahril/status/1909391420383003052","1447918723248107536","HantonoSyahril"
